class,name,content
中式,創意聖誕花圈饅頭,"酵母粉加5-10克溫水泡5分鐘(無須攪拌)。麵糰的材料加在一起，搓揉成3光麵糰。取一部份麵糰加入薑黃粉搓揉成黃色麵糰。
取一部份麵糰加入紅麴粉搓揉成粉紅或紅色麵糰。
取一部份麵糰加入薑黃粉+蝶豆花粉搓揉成綠色麵糰。
取一部份麵糰加入蝶豆花粉搓揉成藍色麵糰。
取一部份麵糰加入碳粉搓揉成黑色麵糰。造型花及小裝飾的圖案先做，壓模及做好的造型放在烘焙紙上(底下是盤子)，可以先冰入冰箱裡(上面要蓋住防止表面乾燥)，以免時間過久過發。按照左圖做成花圈造型再把點綴的造型小花、蝴蝶結、鈴鐺、葉子貼在花圈上。要貼的部份要沾薄薄的一層水再貼上，增加黏性。若沒有模型，也可以用點點來做花樣。自己創意各種圖型來點綴都可以。蒸籠的水先煮水溫不燙手備用，今天水溫30度左右(今天室溫22度)。饅頭放入蒸竉裡排好,不要太靠近,要有膨脹的空間。放上鍋,今天上蓋發酵25分鐘左右(以麵糰發酵情形為表面有澎脹、變輕、漂亮的樣子為主，做造型)。做造型的時間越久，後發時間就要縮短。今天的造型我花了1小時在製作，麵糰也有在冰箱冷凍過，退冰後再做。"
中式,澄清奶油 無水奶油～簡單自製中式點心酥油,"無鹽奶油兩磅直接放入鍋中小火加熱奶油容易燒焦火不要開太大，慢慢加熱即可一邊加熱一邊會在表面浮出許多泡沫，那是酪蛋白（whey proteins）泡沫，用濾網湯勺來把它撈起太密的濾網會連油一起撈起，所以輕輕撈出表面的泡沫不要連油一起都撈出來。
太疏的濾網泡沫會流下去。沒關係，最後撈不起來的用湯匙撈出即可加熱到整鍋奶油都融化，泡沫漸少即可熄火，把表面的泡沫盡量撈到看不見為止。靜置讓固形物沈澱，把澄清奶油倒出到另外一個乾淨的廣口容器裡，奶油遇到冷會固化，裝在油瓶會倒不出來，所以要裝在好挖取的容器內。
今天裝在玻璃保鮮盒內。鍋底的最後的油與沈澱物不要倒出，但也不要丟棄，可以用來炒菜很香的。
*倒油的動作可以加上用濾紙過濾這道手續，因為我沒有濾紙，而且是家庭用製作的量很少，很快就會用完了，今天就省略這個動作。做好的澄清奶油是金黃色的，放進冰箱會凝固成固態，每次使用請用乾淨的乾燥勺子挖取。*在台灣做中式點心常用的酥油通常是人造氫化植物油，自製無水奶油健康多了。
*西藏也會用奶油去水後做成酥油，加上茶葉煮就是很有名的酥油茶，但是這與台灣常見的酥油並非是同樣的東西，反而類似澄清奶油(無水奶油)
*東南亞印度人常用的Ghee，也是無水奶油中的一種，多了熬煮動作的Ghee味道更香。*水分與蛋白質等成份使奶油容易腐敗，除去這些的澄清奶油因此較不易腐壞。
*奶油在台灣(溫暖潮濕)一定要冷藏保存。"
中式,**蘿蔔絲餡餅**,"麵粉+鹽巴拌勻後，慢慢加入滾水→用筷子迅速拌勻成粉片狀，再慢慢加入冷水拌揉成團(能成糰就不要再加)。成團後再加入食用油揉到吸收且整體呈現光滑，再蓋上保鮮膜靜置鬆弛30分鐘。(燙麵麵團剛開始會比較黏是正常，加入油脂揉好就不黏了)(準備餡料)

白蘿蔔剉籤後加入1小匙鹽巴抓勻靜置個5~10分鐘，再把蘿蔔出的苦水倒掉和擠掉。熱鍋，放一些油，小火加入蝦米，蔥花煸香，再加入擠乾水份的蘿蔔拌炒均勻，再加入適量鹽巴，白胡椒粉調味，即起鍋備用。(蘿蔔不用炒很久)鬆弛好的麵團平均分成6等份，再桿成中間較厚周圍較薄的圓片。每個圓片放上適量內餡，用自己最順手的方式包緊收口，再稍微壓扁成餅狀。熱鍋，放一些油,收口朝下放入餡餅，小火慢煎至兩面金黃即完成。(一定要小火，才不會麵皮焦了，裡面卻沒熟)"
中式,白玉蘿蔔糕,"蘿蔔數條，去皮刨成絲，刨絲的過程蘿蔔會出水（要留下備用,可代水用）刨成絲的蘿蔔瀝水保留，
取一炒鍋另加100cc的水，把蘿蔔絲倒入鍋內，加一匙鹽一匙白胡椒粉，開中小火將蘿蔔絲煮到軟透明（8～9分熟）蘿蔔絲煮軟透，大約20分鐘，過程請輕拌勻。取一容器，將再來米粉600克倒入+地瓜粉60克（太白粉也可以）+水共700克（前面留下備用的蘿蔔水可以加入），全部拌勻。
喜歡胡椒粉重一點可再加一點。容器，我選用的是蛋糕8""模，這裡沒有用烤紙也沒有用玻璃紙，嚐試烤模內抹油蒸蘿蔔糕。把調好的粉漿倒入蘿蔔絲的炒鍋中，繼續以中小火方式持續把粉漿蘿蔔絲攪拌均勻，直到粉漿攪不動為止。蘿蔔粉漿拌炒勻後熄火，將粉漿糊倒入模型容器中，這次使用8～9""烤模 嘟嘟好，
粉漿表面整型舖平。因烤模較大怕無法取出，所以電鍋內放了蒸架跟一個瓷碗殿高些，哈～結果鍋蓋的密合度還差一點點，只好使用乾淨的濕布2條圍繞鍋蓋周邊，讓蒸氣可以集中些。
電外鍋，我分了兩段加水，一次2杯水，跳起後測試蘿蔔糕的熟度，第二次再2杯水蒸到跳起測試不沾粘即可。經過1～2小時的蒸煮，起鍋放涼，待冷卻後再入冰箱，隔天切片再煎蘿蔔糕吃～插曲^=^
電鍋太慢炊熟……我移動到
瓦斯爐蒸煮，一樣外鍋加水以中小火持續蒸…,中途要看蒸煮的水夠不夠因水蒸氣上衝鍋蓋會延邊流下及產生水滴，我沒有用蒸籠布，等蒸好後開蓋再用紙巾吸水經過，電鍋2小時火力不夠蒸透，轉移瓦斯爐上蒸煮1小時左右,（前後大概3小時,叉籤不沾粘）取出放涼，為加速冷卻，我用電風扇協助散熱，等待完全冷卻放入冰箱冰存～隔天切片煎.煮。經過冰箱冰一晚上～剖切面感覺還不錯，油多一些比較好煎，吃的時後不會柴柴乾乾，蘿蔔糕煎到兩面金黃即可～"
中式,かにの自製鹹鴨蛋,備料     鴨蛋洗乾淨先將鹽巴加入白開水中用攪拌棒讓鹽融化（我今天用玫瑰鹽，所以顏色稍微紅紅的)鴨蛋與鹽水，米酒裝入罐子裡，蓋子鎖緊。25天後就可以收成了。已經泡25天的鴨蛋，打到碗裡的樣子生蛋黃~~好美啊！鹹鴨蛋連殼下鍋煮熟煮熟後剖開的鹹鴨蛋自製鹹鴨蛋成功用自製鹹鴨蛋做的三色蛋取出鹹蛋黃後，剩下的鹹蛋白再+4顆生鴨蛋及蔥花煎蔥蛋，不用再加鹽巴了，鹹度剛剛好喔！
中式,毛毛蟲優格麻糬~萬聖節搞怪派對點心~,玉米粉先用烤箱170度烤5-8分鐘備用蝶豆花乳清加入冰心麻糬粉拌勻拌勻後會很黏稠，所以須要玉米粉當手粉手沾玉米粉把麻糬團取出，放在撒上玉米粉的柔麵墊上準備盤子，也撒上手粉把麵團搓成長條，切成適當大小約2-3公分，約18個取出一個，沾點粉，輕輕壓平，包上一點點芝麻粉或花生粉包成圓形，全部依序完成融化巧克力備用開始組裝毛毛蟲，可以3個一組，也可以4個一組，擠上巧克力眼睛取出盤子或透明盒，舖上些許水果麥片再把麻糬毛毛蟲放入完成毛毛蟲優格麻糬~萬聖節搞怪派對點心~
中式,南瓜包,竹筍、豆乾、蘿蔔乾、紅蔥頭切丁先將豬肉炒熟，加入紅蔥頭，最後再加入竹筍、豆乾、蘿蔔乾拌炒。再來加入調味，以及紅蔥酥拌勻。糯米粉、太白粉及水先攪拌均勻。揉出一塊麵團，丟入滾水中煮熟，煮到浮起來撈出煮熟的麵團放入原本麵團中，加入糖以及南瓜泥。南瓜泥慢慢加入不要一次全下。因為南瓜有水份，所以看到已經可以成麵團狀，就不要再加將麵團分成八份，搓成圓形備用。壓扁滾圓，包入餡料。收口朝下。再將包好的南瓜包，輕輕畫米字。最後蒂頭可以用枸杞替代。底部鋪上烤盤紙，放入電鍋蒸籠內。先將電鍋中倒入三杯水，等水快滾的時候，再將蒸籠放上去。蒸15分鐘就好。
中式,芝麻包子,"因為麵糰是做一次發酵，所以要先把內餡準備好，先將材料秤好，這個配方可做12顆芝麻包子。糖與芝麻粉（黑芝麻打成粉）混勻；無鹽奶油微波1分鐘溶化後，與芝麻粉和糖混勻。混勻的芝麻內餡呈現較溼滑的狀況，放入冰箱冷藏15分鐘。經過冷藏後芝麻內餡會呈固體狀，較容易塑型。用湯匙舀起，並秤重每顆約@12～13g. 捏揉成圓型後放入冷凍庫冰鎮。共需12顆。取揉麵缸，放入牛奶、糖和酵母略混勻；加入中筋麵粉和沙拉油；攪拌到沒有液體；用手大略的揉成糰後，用保鮮膜蓋起來，鬆弛10分鐘。10分鐘後取出麵糰，在工作檯上揉到麵糰表面光滑不黏手。秤重分割成12顆，每顆為@42～43g。拿一顆壓扁，將麵皮由外向中心往內摺，再抓起麵糰後，翻面捏成圓型。12顆圓麵糰，依續排列。
可蓋上捻乾的溼布或保鮮膜防乾裂。略壓扁後，橄成外薄中間厚的圓型；翻面，放入芝麻內餡；像包包子ㄧ樣的包起内餡，收口捏緊；翻面收口朝下，略整型成圓形後，從麵糰的2/3處輕輕壓捏出鬼魂的尾巴。放在包子紙上，排入蒸籠中進行發酵。等發酵的時間，用不沾紙畫出骷髏頭的表情，並用刀片裁切出圖片。
也可以趁機將等一下要印在包子上的芝麻糊調好，芝麻粉+糖+冷開水。現在天氣涼涼的，所以今天發酵用了45分鐘。冷水起蒸，蒸17分鐘。蒸好後不要馬上開蓋，先讓蒸氣略散後再取出包子放在網架上。拿一顆包子，將自制的圖片紙放在上面；接著抹上芝麻糊；再移開圖片紙後即可。如果懶得磨芝麻,用有機芝麻粉很方便喔~~~~"
中式,蔓越莓桂圓米糕(電鍋版),1.準備食材。2.糯米快速清洗，用篩網過濾掉多餘的水份。3.放入桂圓，再加入水。4.放入電鍋，外鍋加3/4米杯水，蓋鍋蓋，按下電源。5.待電鍋電源跳起（約20分鐘），再燜10分鐘。6.取出內鍋，趁熱加入二砂糖與蔓越莓，拌勻至糖溶解。7.再放入電鍋，外鍋1/2米杯水，按下電源。8.待電鍋電源跳起（約10分鐘），再燜10分鐘即可。9.取出盛碗或盛於小紙碟中做成個人份小甜點，精緻小巧，美味又健康。
中式,黎巴嫩之夜-中東甜點粗麥布丁,將mistika樹膠用研磨器或橄麵棍碾碎成粉末。牛奶與粗麥粉，樹膠混合均勻，小火邊煮邊攪動以防焦鍋。煮至濃稠且冒泡，嚐一下是否已熟。布丁糊需是可緩緩流動的狀態，太稠可再加些牛奶。將煮好的布丁糊倒入烤盤或任何耐熱平底容器，布丁糊高度不宜超過一個指節。將布丁面整平。將保鮮膜服貼的放在布丁糊上以防止結硬皮，放入冰箱冷藏。冷卻後將布丁拿出，表面塗上一層打發的鮮奶油或thick cream。鮮奶油打發時不需加糖。抹好鮮奶油後，放回冰箱繼續冷藏。食用前，撒上敲碎的生開心果。將布丁切成四方型。放到小盤，淋上蜂蜜。
